álbum,música,letra,duração,exibições,indicações,prêmios
Queen,Keep Yourself Alive,"I was told a million times Of all the troubles in my way Might to grow a little wiser Little better every day But if I crossed a million rivers And I rode a million miles Then I'd still be where I started Bread and butter for a smile Well, I sold a million mirrors In a shop in alleyway But I never saw my face In any window any day Well, they say your folks are telling you Be a superstar But I tell you just be satisfied To stay right where you are Keep yourself alive, yeah Keep yourself alive It'll take you all your time and money, honey You'll survive Well, I've loved a million women In a belladonic haze And I ate a million dinners Brought to me on silver trays Give me ev'rything I need To feed my body and my soul And I'll grow a little bigger Maybe that can be my goal I was told a million times Of all the people in my way How I had to keep on trying And get better ev'ry day But if I crossed a million rivers And I rode a million miles Then I'd still be where I started Same as where I started Keep yourself alive, c'mon Keep yourself alive It'll take you all your time and money, honey You'll survive Shake it Keep yourself alive, whoa Keep yourself alive It'll take you all your time and money To keep me satisfied Do you think you're better ev'ry day? No, I just think I'm two steps nearer to my grave Keep yourself alive, c'mon Keep yourself alive You take your time and take my money To keep yourself alive Keep yourself alive, c'mon Keep yourself alive All you people keep yourself alive Keep yourself alive, c'mon, c'mon Keep yourself alive It'll take you all your time and the money To keep me satisfied Keep yourself alive Keep yourself alive All you people keep yourself alive Take you all your time and money, honey You will survive Keep you satisfied ",234,63723,0,0
Queen,Doing All Right,Yesterday my life was in ruin Now today I know what I'm doing Got a feeling I should be doing all right Doing all right Where will I be this time tomorrow? Jump in joy and sinking in sorrow Anyway I should be doing all right Doing all right Should be waiting for the sun Looking round to find the words to say Should be waiting for the skies to clear There ain't time in all the world Should be waiting for the sun And anyway I've got hide away Yesterday my life was in ruin Now today God knows what I'm doing Anyway I should be doing all right Doing all right Doing all right ,250,22591,0,0
Queen,Great King Rat,"Great king rat died today Born on the twenty first of may Died syphilis forty four on his birthday Every second word he swore Yes he was the son of a whore Always wanted by the law Wouldn't you like to know? Wouldn't you like to know, people? Great King Rat was a dirty old man And a dirty old man was he Now what did I tell you Would you like to see? Now hear this Where will I be tomorrow? Will I beg or will I borrow? I don't care I don't care anyway Come on, come on the time is right The man is evil and that is right I told you, ah, yes, I told you And that's no lie, oh, no, no, no Wouldn't you like to know? Wouldn't you like to know? Wouldn't you like to know? Great king rat was a dirty old man And a dirty old man was he Now what did I tell you Would you like to see? Show me Wouldn't you like to know? Wouldn't you like to know, people? Great King Rat was a dirty old man And a dirty old man was he Now what did I tell you Would you like to see? Now listen all you people Put out the good and keep the bad Don't believe all you read in the bible You sinners get in line Saints you leave far behind Very soon you're gonna be his disciple Don't listen to what mama says Not a word not a word mama says Or else you'll find yourself being the rival The great lord before he died Knelt sinners by his side And said you're going to realize tomorrow No I'm not gonna tell you What you already know Cause time and time again The old man said it all a long time ago Come come on the time is right This evil man will fight I told you once before Wouldn't you like to know? Wouldn't you like to know? Just like I said before Great King Rat was a dirty old man And a dirty old man was he The last time I tell you Would you like to see? ",348,11325,0,0
Queen,My Fairy King,"In the land where horses born with eagle wings And honey bees have lost their stings There's singing forever Lion's den with fallow deer And rivers made from wine so clear Flow on and on forever Dragons fly like sparrows through the air And baby lambs where Samson dares To go on, on, on, on, on, on My fairy king (He rules the air) He rules the air and can see things (And turns the tides) That are no there for you and me My fairy king (He rides the winds) Can only do right and nothing wrong Then came man to savage in the night To run like thieves and to kill like knives To take away the power from the magic hand To bring about the ruin to the promised land They turn the milk into sour Like the blue in the blood of my veins (Why can't you see it) Fire burning in hell with the cry of screaming pain (Son of heaven set me free and let me go) Sea turns dry no salt from sand Seasons find no helping hand Teeth don't shine like pearls for the poor man's eyes (No more) Someone someone has drained the color from my wings Broken my fairy circle ring And shamed the king in all his pride Changed the winds and wronged the tides Mother Mercury (Mercury) Look what they've done to me I cannot run, I cannot hide ",245,17637,0,0
Queen,Liar,"I have sinned dear father, father, I have sinned Try and help me father Won't you let me in? Liar Nobody believes me Liar Why don't they leave me alone? Sire I have stolen, stolen many times Raised my voice in anger When I know I never should Liar, oh, ev'rybody deceives me Liar, why don't you leave me alone Liar, I have sailed the seas Liar, from Mars to Mercury Liar, I have drunk the wine Liar, time after time Liar, you're lying to me Liar, you're lying to me Father, please, forgive me You know you'll never leave me Please will you direct me in the right way Liar, liar, liar, liar Liar, that's what they keep calling me Liar, liar, liar Listen are you gonna listen Mama I'm gonna be your slave All day long Mama I'm gonna try behave All day long Mama I'm gonna be your slave All day long I'm gonna serve you till your dying day All day long I'm gonna keep you till your dying day All day long I'm gonna kneel down by your side and pray All day long and pray All day long and pray All day long and pray All day long all day long all day long All day long all day long all day long All day long all day long all day long Liar, liar, they never ever let you win Liar, liar, everything you do is sin Liar, nobody believes you Liar, they bring you down before you begin Now let me tell you this Now you know you could be dead before they let you ",394,28993,0,0
Queen,The Night Comes Down,"When I was young it came to me And I could see the sun breaking Lucy was high and so was I dazzling Holding the world inside Once I believed in everyone Everyone and anyone can see Oh oh the night comes down And I get afraid of losing my way Oh oh the night comes down Ooh and it's dark again Once I could laugh with everyone Once I could see the good in me The black and the white distinctively Coloring, holding the world inside Now all the world is gray to me Nobody can see you gotta believe it Oh oh the night comes down And I get afraid of losing my way Oh oh the night comes down Ooh and it's dark again And it's dark again And it's dark again ",265,8275,0,0
Queen,Modern Times Rock'n'Roll,"Had to make do with a worn out rock and roll scene The old bop is gettin' tired need a rest Well you know what I mean Fifty eight that was great But it's over now and that's all Somethin' harder's coming up Gonna really knock a hole in the wall Gonna hit ya grab you hard Make you feel ten feet tall Well, I hope that big new baby's gonna come along soon You don't know it could happen any ol' rainy afternoon With the temp'rature down And the jukebox blowin' no fuse And my musical life's feelin' Like a long sunday school cruise And you know there's one thing Every single body could use Yeah, listen to me, baby Let me tell you what it's all about Modern times rock and roll Modern times rock and roll Get your high heeled guitar boots and some groovy clothes Get a hair piece on your chest And a ring through your nose Find a nice little man who says He's gonna make you a real big star Stars in your eyes ants in your pants Think you should go far Everybody in this bum sucking world's Gonna know just who you are! Look out Modern times rock'n'roll ",116,6173,0,0
Queen,Son And Daughter,"Tried to be your son and daughter rolled into one You said you'd equal any man for having your fun Now didn't you feel surprise to find The cap just didn't fit? The world expects a man To buckle down and to shovel shit What'll you do for loving When it's only just begun? I want you To be a woman Tried to be a teacher and a fisher of men An equal people preacher, will you lead us all the same? Well I travelled around the world To find a brand new word for day Watching the time mustn't linger behind Pardon me I have to get away What'll you think of heaven If it's back from where you came? I want you To be a woman I want you to be a woman, yeah ",205,8329,0,0
Queen,Jesus,And then I saw him in the crowd A lot of people had gathered round him The beggers shouted and the lepers called him The old man said nothing He just stared about him All going down to see the Lord Jesus All going down to see the Lord Jesus All going down Then came a man before his feet he fell Unclean said the leper and rang his bell Felt the palm of a hand touch his head Go now go now you're a new man instead All going down to see the lord Jesus All going down to see the lord Jesus All going down It all began with the three wise men Followed a star took them to bethelehem And made it heard throughout the land Born was the leader of man All going down to see the Lord Jesus All going down to see the Lord jesus All going dow It all began with the three wise men Followed a star took them to bethelehem And made it heard throughout the land Born was the leader of man All going down to see the Lord Jesus All going down to see the Lord Jesus All going down ,224,36534,0,0
Queen,Seven Seas Of Rhye,"Fear me, you lord and lady preachers I descend upon your earth from the skies I command your very souls, you unbelievers Bring before me what is mine! The seven seas of rhye Can you hear me, you peers and privy councillors? I stand before you naked to the eyes I will destroy any man who dares abuse my trust I swear that you'll be mine! The seven seas of rhye (Sister) I live and lie for you (Mister) do and I'll die You are mine! I possess you! Belong to you Forever! Ever, ever! Storm the master marathon I'll fly through By flash and thunder fire, I'll survive (I'll survive, I'll survive) Then I'll defy the laws of nature And come out alive! Begone with you, you shod and shady senators Give out the good, leave out the bad evil cries I challenge the mighty titan and many troubadours And with a smile I'll take you to the seven seas of rhye I do like to be beside the seaside I do like to be beside the sea ",168,44076,0,0
Sheer Heart Attack,Brighton Rock,"Happy little day, Jimmy went away Met his little Jenny on a public holiday A happy pair they made so decorously laid 'Neath the gay illuminations all along the promenade It's so good to know there's still a little magic in the air I'll weave my spell Jenny will you stay? Tarry with me pray Nothing 'ere need come between us Tell me, love, what do you say? Oh, no, I must away to my mum in disarray If my mother should discover how I spent my holiday It would be of small avail to talk of magic in the air I'll say farewell Oh, rock of ages do not crumble Love is breathing still Oh, lady moon, shine down A little people magic if you will Jenny pines away writes a letter ev'ry day We must ever be together Nothing can my love erase Oh, no, I'm compromised I must apologize if my lady should discover How I spent my holidays ",310,23163,0,0
Sheer Heart Attack,Killer Queen,"She keeps Moët et Chandon In her pretty cabinet Let them eat cake, she says Just like Marie Antoinette A built-in remedy For Khrushchev and Kennedy At anytime, an invitation You can't decline Caviar and cigarettes Well-versed in etiquette Extraordinarily nice She's a Killer Queen Gunpowder, gelatine Dynamite with a laser beam Guaranteed to blow your mind Anytime Recommended at the price Insatiable in appetite Wanna try? To avoid complications She never kept the same address In conversation She spoke just like a baroness Met a man from China Went down to Geisha Minah Then again incidentally If you're that way inclined Perfume came naturally from Paris (naturally) For cars, she couldn't care less Fastidious and precise She's a Killer Queen Gunpowder, gelatine Dynamite with a laser beam Guaranteed to blow your mind Anytime Drop of a hat, she's as willing as Playful as a pussycat Then momentarily out of action Temporarily out of gas To absolutely drive you wild, wild She's out to get you She's a Killer Queen Gunpowder, gelatine Dynamite with a laser beam Guaranteed to blow your mind Anytime Recommended at the price Insatiable in appetite Wanna try? You wanna try! ",189,415337,0,0
Sheer Heart Attack,Tenement Funster,"My new purple shoes Bin' amazin' the people next door And my rock 'n roll 45's Bin' enragin' the folks on the lower floor I got a way with girls on my block Try my best be a real individual And when we go down to smokies and rock They line up like it's some kinda ritual Oh, give me a good guitar And you can say that my hair's a disgrace Or, just find me an open car I'll make the speed of light outta this place I like the good things in life But most of the best things ain't free And this same situation, just cuts like a knife When you're young, and you're poor, and you're crazy But oh, give me a good guitar And you can say that my hair's a disgrace Or, just find me an open car I'll make the speed of light outta this place ",178,9420,0,0
Sheer Heart Attack,Flick Of The Wrist,"Dislocate your spine if you don't sign, he says I'll have you seeing double Mesmerize you when he's tongue-tied Simply with those eyes Synchronize your minds and see The beast within him rise Don't look back Don't look back It's a rip-off Flick of the wrist and you're dead, baby Blow him a kiss and you're mad Flick of the wrist He'll eat your heart out A dig in the ribs and then a kick in the head He's taken an arm and taken a leg All this time honey Baby, you've been had Intoxicate your brain with what I'm saying If not you'll lie in knee Deep trouble Prostitute yourself he says Castrate your human pride Sacrifice your leisure days Let me squeeze you till you've dried Don't look back Don't look back It's a rip-off Work my fingers to my bones I scream with pain I still make no impression Seduce you with his money-make machine Cross-collateralize, (big-time money, money) Reduce you to a muzak-fake machine Then the last goodbye It's a rip-off Flick of the wrist and you're dead, baby Blow him a kiss and you're mad Flick of the wrist He'll eat your heart out A dig in the ribs and then a kick in the head He's taken an arm and taken a leg All this time, honey ",212,12153,0,0
Sheer Heart Attack,Lily Of The Valley,"I am forever searching high and low But why does everybody tell me no Neptune of the seas Have you an answer for me, please And the lily of the valley doesn't know I lie in wait with open eyes I carry on through stormy skies I follow every course My kingdom for a horse But each time I grow old Serpent of the Nile Relieve me for a while And cast me from your spell and let me go Messenger from seven seas has flown To tell the king of Rhye he's lost his throne Wars will never cease Is there time enough for peace But the lily of the valley doesn't know ",104,18644,0,0
Sheer Heart Attack,Now I'm Here,"Here I stand (here I stand) Look around around around around (Around around around around) But you won't see me (you won't see me) Now I'm here (now I'm here) Now I'm there (now I'm there) I'm just a— I'm just a just a new man Yes you made me live again A baby I was when you took my hand And the light of the night burned bright And the people all stared didn't understand But you knew my name on sight Whatever came of you and me? America's new bride to be Don't worry baby I'm safe and sound Down in the dungeon just Peaches and me Don't I love her so? Yes she made me live again yeah! A thin Moon me in the smoke screen sky Where the beams of your love light chase Don't move don't speak don't feel no pain With the rain running down my face Your matches still light up the sky And many a tear lives on in my eye Down in the city just Hoople and me Don't I love him so don't I love him so? Whatever comes of you and me I love to leave my memories with you Now I'm here (now I'm here) Think I'll stay around around around (Around around around around) Down in the city just you and me (Down in the city just you and me) Don't I love you so? Go, go, go, little Queenie ",254,48908,0,0
Sheer Heart Attack,In The Lap Of The Gods,Ah ah ah ah ah Ah ah ah Leave it in the lap of the gods Ah ah ah I live my life for you Think all my thoughts with you and only you Anything you ask I do for you I touch your lips with mine But in the end I leave it to the lords Leave it in the lap of the gods What more can I do? Leave it in the lap of the gods I leave it to you Leave it in the lap of the gods Leave it in the lap of the gods I want you to Leave it in the lap of the gods Leave it in the lap of the gods Leave it in the lap of the gods Lap of the gods Lap of the gods Lap of the gods Lap of the gods Lap of the gods Lap of the gods Lap of the gods ,360,24507,0,0
Sheer Heart Attack,Stone Cold Crazy,"Sleeping very soundly on a Saturday morning I was dreaming I was Al Capone There's a rumour going round Gotta clear outta town I'm smelling like a dry fish bone Here come the law, gonna break down the door Gonna carry me away once more Never, never, I never want it anymore Gotta get away from this stone cold floor Crazy Stone cold crazy, you know! Rainy afternoon I gotta blow a typhoon And I'm playing on my slide trombone Anymore anymore cannot take it anymore Gotta get away from this stone cold floor Crazy, stone cold crazy, you know Walking down the street Shooting people that I meet With my rubber tommy water gun Here come the deputy He's gonna come and get me I gotta get me up and run They got the sirens loose I ran right outa juice They're gonna put me in a cell If I can't go to heaven Will they let me go to hell? Crazy Stone cold crazy, you know! ",144,37280,0,0
Sheer Heart Attack,Dear Friends,So dear friends Your love has gone Only tears to dwell upon I dare not say As the wind must blow So a love is lost A love is won Go to sleep and dream again Soon your hopes will rise And then from all this gloom Life can start anew And there'll be no crying soon ,68,16882,0,0
Sheer Heart Attack,Misfire,"Don't you misfire Fill me up With the desire To carry on Don't you know honey, that love's a game It's always hit or miss, so take your aim Got to hold on tight, shoot me out of sight Don't you misfire Don't you misfire Your gun is loaded, and pointing my way There's only one bullet, so don't delay Got to time it right, fire me through the night Come on, take a shot Fire me higher Don't you miss this time Please don't misfire, misfire ",111,8101,0,0
